Level	Rule Name	Subject	Property	Value
WARN	missing_definition	Aghem	definition	
WARN	missing_definition	Aja	definition	
WARN	missing_definition	Fante	definition	
WARN	missing_definition	Anaang	definition	
WARN	missing_definition	Baule	definition	
WARN	missing_definition	Bamum	definition	
WARN	missing_definition	Kombe	definition	
WARN	missing_definition	Luvale	definition	
WARN	missing_definition	Bedik	definition	
WARN	missing_definition	Bassari	definition	
WARN	missing_definition	Diffa Arabs	definition	
WARN	missing_definition	Ditammari	definition	
WARN	missing_definition	Ekoi	definition	
WARN	missing_definition	Gola	definition	
WARN	missing_definition	Guan	definition	
WARN	missing_definition	Bariba	definition	
WARN	missing_definition	Konkomba	definition	
WARN	missing_definition	Lilse	definition	
WARN	missing_definition	Lobi	definition	
WARN	missing_definition	Pana	definition	
WARN	missing_definition	Samoya	definition	
WARN	missing_definition	Itsekiri	definition	
WARN	missing_definition	Bandial	definition	
WARN	missing_definition	Dan	definition	
WARN	missing_definition	Kabye	definition	
WARN	missing_definition	Krio	definition	
WARN	missing_definition	Krahn	definition	
WARN	missing_definition	Grebo	definition	
WARN	missing_definition	Kulango	definition	
WARN	missing_definition	Limba	definition	
WARN	missing_definition	Jakhanke	definition	
WARN	missing_definition	Kono	definition	
WARN	missing_definition	Kpelle	definition	
WARN	missing_definition	Kuranko	definition	
WARN	missing_definition	Loko	definition	
WARN	missing_definition	Mano	definition	
WARN	missing_definition	Vai	definition	
WARN	missing_definition	Yalunka	definition	
WARN	missing_definition	Mankanya	definition	
WARN	missing_definition	Oron	definition	
WARN	missing_definition	Papel	definition	
WARN	missing_definition	Sherbro	definition	
WARN	missing_definition	Temne	definition	
WARN	missing_definition	Lebu	definition	
WARN	missing_definition	Nuna	definition	
WARN	missing_definition	family	definition	
WARN	missing_definition	language:glottolog:id	definition	
WARN	missing_definition	language:ISO639-3:id	definition	
WARN	missing_definition	population:101lasttribes	definition	
WARN	missing_definition	user-preferred name	definition	
WARN	missing_definition	was	definition	
WARN	missing_definition	Kango	definition	
WARN	missing_definition	Ewondo	definition	
WARN	missing_definition	Birwa	definition	
WARN	missing_definition	Kissi	definition	
WARN	missing_definition	Ngazidja	definition	
WARN	missing_definition	Maore	definition	
WARN	missing_definition	Mwali	definition	
WARN	missing_definition	Ndzwani	definition	
WARN	missing_definition	<http://purl.obolibrary.org/obo/afpo.owl#Kuria>	definition	
WARN	missing_definition	<http://purl.obolibrary.org/obo/afpo.owl#Karonica>	definition	
WARN	missing_definition	definition	definition	
WARN	missing_definition	description	definition	
WARN	missing_definition	license	definition	
WARN	missing_definition	title	definition	
INFO	lowercase_definition	Nubian Eastern	definition	'The Nubians are known as people of the Nile and are located between Egypt and northern Sudan.' taken from: Culture and Customs of Sudan. Written by De Kwame Essien, Toyin Falola Ph.D.
INFO	lowercase_definition	Nuba	definition	'The Nuba trace their geographical roots to the area around the Nuba mountains, the uppermost regions around the Ingessana hills and communities close to the Red Sea.' taken from: Culture and Customs of Sudan. Written by De Kwame Essien, Toyin Falola Ph.D.
INFO	lowercase_definition	Mang'anja	definition	the people of the lake
INFO	lowercase_definition	Beti-Pahuin	definition	group of 20 sub-ethnicities
INFO	lowercase_definition	Birged	definition	'The Birked live north and east of Dago and Bayko, between Gebel Harayz and Rizaykat and are much larger tribe then either.' from a: A History of the Arabs in the Sudan. Written by De H. A. MacMichael.
INFO	lowercase_definition	Gurage	definition	subdivided in three groups: East, North, West
