defined_class	defined_class_label	parent_class_label	population_size	xref
AfPO:0000147	Dagomba	Western African	0.93 millions	https://en.wikipedia.org/wiki/Dagomba_people
AfPO:0000048	Botswana	Southern Africa	2.214 millions	
AfPO:0000190	Nubian Eastern	Nilotic Eastern	Nilo-Saharan, Eastern Sudanic	https://en.wikipedia.org/wiki/Nubians
AfPO:0000190	Nubian Eastern	Nilotic Eastern	1.7 million	https://en.wikipedia.org/wiki/Nubians
AfPO:0000544	Kabye@en	Gurma	1.22 millions	https://en.wikipedia.org/wiki/Kabye_people
AfPO:0000325	Afrikaner	Southern African	2.8–3.5 million	https://en.wikipedia.org/wiki/Afrikaners
AfPO:0000325	Afrikaner	Southern African	Indo-European	https://en.wikipedia.org/wiki/Afrikaners
AfPO:0000353	South Ndebele	Ndebele	0.7 million	https://en.wikipedia.org/wiki/South_Ndebele_people
AfPO:0000014	South Sudan	Eastern Africa	11 millions	
AfPO:0000486	Chopi@en	Bantu Eastern	760000	https://en.wikipedia.org/wiki/Chopi_people
AfPO:0000045	Algeria	Northern Africa	40.9 millions	
AfPO:0000305	Baggara	Semite Central	6 million	https://en.wikipedia.org/wiki/Baggara
AfPO:0000305	Baggara	Semitic Eastern	6 million	https://en.wikipedia.org/wiki/Baggara
AfPO:0000539	Pana@en	Gurma	19700	
AfPO:0000385	Beja	Cushitic Eastern	2.8 millions	https://en.wikipedia.org/wiki/Beja_people
AfPO:0000074	Bambara	Mande Western	14 millions	https://en.wikipedia.org/wiki/Bambara_people
AfPO:0000560	Papel@en	Western African	140000	https://en.wikipedia.org/wiki/Papel_people
AfPO:0000500	Hadiya@en	Cushitic Eastern	2 million	https://en.wikipedia.org/wiki/Hadiya_people
AfPO:0000209	Ari	Eastern African	0.462 million	
AfPO:0000577	Mwali	Swahili	45,000	
AfPO:0000549	Limba@en	Western African	792190	https://en.wikipedia.org/wiki/Limba_people_(Sierra_Leone)
AfPO:0000252	Zafimaniry	Betsileo	0.015 million	https://en.wikipedia.org/wiki/Zafimaniry
AfPO:0000141	Soninke	Mande Western	2 millions	https://en.wikipedia.org/wiki/Soninke_people
AfPO:0000358	Nubian Northern	Northern African	Nilo-Saharan, Eastern Sudanic	https://en.wikipedia.org/wiki/Nubians
AfPO:0000358	Nubian Northern	Northern African	1.7 million	https://en.wikipedia.org/wiki/Nubians
AfPO:0000047	Tunisia	Northern Africa	11.4 millions	
AfPO:0000529	Bassari@en	Western African	40800	https://en.wikipedia.org/wiki/Bassari_people
AfPO:0000030	Zimbabwe	Eastern Africa	13.8 millions	
AfPO:0000126	Nuer	Nilotic Eastern	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Dinka-Nuer	https://en.wikipedia.org/wiki/Nuer_people
AfPO:0000126	Nuer	Nilotic Eastern	3 millions	https://en.wikipedia.org/wiki/Nuer_people
AfPO:0000259	Malbar	Eastern African	0.18 million	https://en.wikipedia.org/wiki/Malbars
AfPO:0000558	Mankanya@en	Western African	106900	https://en.wikipedia.org/wiki/Mankanya_people
AfPO:0000088	Kikuyu	Bantu Eastern	5.3 millions	https://en.wikipedia.org/wiki/Kikuyu_people
AfPO:0000088	Kikuyu	Bantu Eastern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E	https://en.wikipedia.org/wiki/Kikuyu_people
AfPO:0000304	Zande	Ubangi Central	1-4 millions	https://en.wikipedia.org/wiki/Zande_people
AfPO:0000304	Zande	Eastern African	1-4 millions	https://en.wikipedia.org/wiki/Zande_people
AfPO:0000028	Mayotte	Eastern Africa	0.27 million	
AfPO:0000384	Agaw	Cushitic Eastern	Afro-Asiatic, Cushitic	https://en.wikipedia.org/wiki/Agaw_people
AfPO:0000384	Agaw	Cushitic Eastern	1 million	https://en.wikipedia.org/wiki/Agaw_people
AfPO:0000405	Luhya	Bantu Eastern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J	https://en.wikipedia.org/wiki/Luhya_people
AfPO:0000405	Luhya	Bantu Eastern	5.4 millions	https://en.wikipedia.org/wiki/Luhya_people
AfPO:0000037	Central African Republic	Central Africa	5.62 millions	
AfPO:0000362	Shilha	Berber Northern	Afro-Asiatic|Berber|Northern|Atlas	
AfPO:0000071	Dinka	Nilotic Eastern	5 millions	https://en.wikipedia.org/wiki/Dinka
AfPO:0000333	Khoisan South	San	0.4 millions	https://en.wikipedia.org/wiki/Khoisan
AfPO:0000333	Khoisan South	Khoekhoe	0.4 millions	https://en.wikipedia.org/wiki/Khoisan
AfPO:0000342	Shona	Bantu Southern	10.6 millions	https://en.wikipedia.org/wiki/Shona_people
AfPO:0000342	Shona	Bantu Eastern	10.6 millions	https://en.wikipedia.org/wiki/Shona_people
AfPO:0000574	Kissi	Western African	1,224,545	https://en.wikipedia.org/wiki/Kissi_people
AfPO:0000514	Teso@en	Nilotic Eastern	2,873 Millions	https://en.wikipedia.org/wiki/Teso_people
AfPO:0000295	Moghamo	Bantu Central	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Wide Grassfields|Narrow Grassfields|Momo|Nun	https://fr.wikipedia.org/wiki/Moghamo
AfPO:0000295	Moghamo	Bantu Central	0.018 million	https://fr.wikipedia.org/wiki/Moghamo
AfPO:0000475	Mangbetu@en	Central African	1.8 millions	https://en.wikipedia.org/wiki/Mangbetu_people
AfPO:0000415	Buduma	Western African	0.128 millions	https://en.wikipedia.org/wiki/Buduma_people
AfPO:0000415	Buduma	Western African	Afro-Asiatic|Chadic|Biu-Mandara|B|B.1	https://en.wikipedia.org/wiki/Buduma_people
AfPO:0000244	Burunge	Cushitic Eastern	Afro-Asiatic|Cushitic|South|Yaaku|B.3|Zaar Proper	https://en.wikipedia.org/wiki/Burunge_people
AfPO:0000244	Burunge	Cushitic Eastern	0.030 million	https://en.wikipedia.org/wiki/Burunge_people
AfPO:0000528	Bedik@en	Western African	2500	https://en.wikipedia.org/wiki/Bedick_people
AfPO:0000253	Merina	Malagasy	> 5 millions	https://en.wikipedia.org/wiki/Merina_people
AfPO:0000224	Jarawa	Bantu Western	0.250 million	
AfPO:0000224	Jarawa	Bantu Western	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Jarawan|Nigerian	
AfPO:0000530	Diffa Arabs@en	Western African	150000	https://en.wikipedia.org/wiki/Diffa_Arabs
AfPO:0000557	Yalunka@en	Mande Western	206000	https://en.wikipedia.org/wiki/Yalunka_people
AfPO:0000087	Igbo	Western African	>34 millions	https://en.wikipedia.org/wiki/Igbo_people
AfPO:0000431	Marka	Mande Western	0.4 millions	https://en.wikipedia.org/wiki/Marka_people
AfPO:0000347	Pedi	Sotho	4.7 millions	https://en.wikipedia.org/wiki/Pedi_people
AfPO:0000058	Tiv	Bantu Western	3.8 millions	https://en.wikipedia.org/wiki/Tiv_people
AfPO:0000058	Tiv	Bantu Western	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Tivoid	https://en.wikipedia.org/wiki/Tiv_people
AfPO:0000402	Embu	Bantu Eastern	>0.4 million	https://en.wikipedia.org/wiki/Embu_people
AfPO:0000036	Sao Tome and Principe	Western Africa	0.2 million	
AfPO:0000390	Lugbara	Sudanic	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|East|Moru-Madi|Central	https://en.wikipedia.org/wiki/Lugbara_people
AfPO:0000390	Lugbara	Sudanic	11 millions	https://en.wikipedia.org/wiki/Lugbara_people
AfPO:0000116	Xhosa	Nguni	7.9 millions	https://en.wikipedia.org/wiki/Xhosa_people
AfPO:0000438	Tutsi	Banyarwanda	3 millions	https://en.wikipedia.org/wiki/Tutsi
AfPO:0000438	Tutsi	Southern African	3 millions	https://en.wikipedia.org/wiki/Tutsi
AfPO:0000491	Segeju@en	Mijikenda	<25,000	https://en.wikipedia.org/wiki/Segeju_people
AfPO:0000376	Turkana	Nilotic Eastern	1,016 millions	https://en.wikipedia.org/wiki/Turkana_people
AfPO:0000496	Sukuma@en	Bantu Eastern	10 Millions	https://en.wikipedia.org/wiki/Sukuma_people
AfPO:0000207	Banyarwanda	Bantu Eastern	15.109 millions	https://en.wikipedia.org/wiki/Banyarwanda
AfPO:0000513	Nara@en	Nilotic Eastern	108000	https://en.wikipedia.org/wiki/Nara_people
AfPO:0000547	Grebo@en	Kru	387000	https://en.wikipedia.org/wiki/Grebo_people
AfPO:0000356	Berber Northern	Northern African	Afro-Asiatic, Berber	https://en.wikipedia.org/wiki/Berbers
AfPO:0000356	Berber Northern	Northern African	38 millions	https://en.wikipedia.org/wiki/Berbers
AfPO:0000017	Somalia	Eastern Africa	11 millions	
AfPO:0000373	Bari	Nilotic Eastern	0.475 millon	https://en.wikipedia.org/wiki/Bari_people
AfPO:0000060	Nama	Khoisan South	0.13 millions	https://en.wikipedia.org/wiki/Nama_people
AfPO:0000168	Bihari Mauritian	Eastern African	1.2 millions	https://en.wikipedia.org/wiki/Bihari_Mauritian
AfPO:0000052	Lesotho	Southern Africa	1.95 million	
AfPO:0000151	Gurma	Western African	3.3 millions	https://en.wikipedia.org/wiki/Gurma_people
AfPO:0000563	Lebu@en	Wolof	210000	https://en.wikipedia.org/wiki/Lebu_people
AfPO:0000503	Antambahoaka@en	Malagasy	50000	https://en.wikipedia.org/wiki/Antambahoaka
AfPO:0000423	Ibibio	Western African	9.6 millions	https://en.wikipedia.org/wiki/Ibibio_people
AfPO:0000423	Ibibio	Western African	9.6 millions	https://en.wikipedia.org/wiki/Ibibio_language
AfPO:0000312	Cote d'Ivoire	Western Africa	24.18 millions	
AfPO:0000284	Mbuti	Pygmy Central	0.01 milion	https://en.wikipedia.org/wiki/Mbuti_people
AfPO:0000339	Makua	Bantu Southern	4.037 Millions	https://en.wikipedia.org/wiki/Makua_people
AfPO:0000149	Frafra	Gurunsi	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Western|Northwest	https://en.wikipedia.org/wiki/Frafra_people
AfPO:0000149	Frafra	Gurunsi	0.3 millions	https://en.wikipedia.org/wiki/Frafra_people
AfPO:0000033	Cameroon	Central Africa	24.9 millions	
AfPO:0000546	Krahn@en	Kru	214000	https://en.wikipedia.org/wiki/Krahn_people
AfPO:0000536	Konkomba@en	Gurma	950000	https://en.wikipedia.org/wiki/Konkomba_people
AfPO:0000428	Wolof	Western African	4 millions	https://en.wikipedia.org/wiki/Wolof_people
AfPO:0000105	Yoruba	Western African	45 millions	https://en.wikipedia.org/wiki/Yoruba_people
AfPO:0000480	Podoko@en	Central African	65000	
AfPO:0000408	Swahili	Bantu Eastern	>0.1 millons	https://en.wikipedia.org/wiki/Swahili_people
AfPO:0000365	Egyptian	Semite Northern	Afro-Asiatic, Semitic	https://en.wikipedia.org/wiki/Egyptians
AfPO:0000365	Egyptian	Semite Northern	85 millions	https://en.wikipedia.org/wiki/Egyptians
AfPO:0000266	Bangba	Ubangi Central	0.011 million	
AfPO:0000396	Tigrinya	Semitic Eastern	10.3 millions	https://en.wikipedia.org/wiki/Tigrayans
AfPO:0000502	Gabra@en	Oromo	700000	
AfPO:0000085	Taita	Bantu Eastern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E	https://en.wikipedia.org/wiki/Taita_people
AfPO:0000085	Taita	Bantu Eastern	0.34 millions	https://en.wikipedia.org/wiki/Taita_people
AfPO:0000311	Cabo Verde	Western Africa	0.56 million	
AfPO:0000345	Venda	Bantu Southern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S	https://en.wikipedia.org/wiki/Venda_people
AfPO:0000345	Venda	Bantu Southern	1 million	https://en.wikipedia.org/wiki/Venda_people
AfPO:0000579	<http://purl.obolibrary.org/obo/afpo.owl#Kuria>	Bantu Eastern	1 million	https://en.wikipedia.org/wiki/Kuria_people
AfPO:0000263	!Kung	San	Unclassified|Kxʼa	https://en.wikipedia.org/wiki/%C7%83Kung_people
AfPO:0000540	Samoya@en	Gurma	30900	
AfPO:0000032	Gabon	Central Africa	1.77 million	
AfPO:0000249	Betsimisaraka	Malagasy	1.5 millions	https://en.wikipedia.org/wiki/Betsimisaraka_people
AfPO:0000511	Kunama@en	Nilotic Eastern	260000	https://en.wikipedia.org/wiki/Kunama_people
AfPO:0000041	Western Sahara	Northern Africa	0.6 million	
AfPO:0000398	Baka_South_Sudan	Pygmy Eastern	Pygmy	https://en.wikipedia.org/wiki/Baka_people_(Congo_and_South_Sudan)
AfPO:0000398	Baka_South_Sudan	Pygmy Eastern	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|West|Bongo-Bagirmi|Bongo-Baka|Baka|Kacipo-Balesi|Tennet|Luo|Lango-Acholi	https://en.wikipedia.org/wiki/Baka_people_(Congo_and_South_Sudan)
AfPO:0000398	Baka_South_Sudan	Pygmy Eastern	0.25 million	https://en.wikipedia.org/wiki/Baka_people_(Congo_and_South_Sudan)
AfPO:0000292	Kongo	Bantu Central	17 millions	https://en.wikipedia.org/wiki/Kongo_people
AfPO:0000301	Mbunda	Kongo	0.5 million	https://en.wikipedia.org/wiki/Mbunda_people
AfPO:0000328	Coloured	Southern African	4.7 millions	https://en.wikipedia.org/wiki/Cape_Coloured
AfPO:0000328	Coloured	Southern African	Indo-European	https://en.wikipedia.org/wiki/Cape_Coloured
AfPO:0000229	Balanta	Western African	0.324 million	https://en.wikipedia.org/wiki/Balanta_people
AfPO:0000489	Lambya@en	Bantu Eastern	89900	https://en.wikipedia.org/wiki/Lambya_people
AfPO:0000039	Equatorial Guinea	Western Africa	0.77 million	
AfPO:0000407	Nyoro	Bantu Eastern	1.4 million	https://en.wikipedia.org/wiki/Nyoro_people
AfPO:0000407	Nyoro	Bantu Eastern	Niger–Congo, Bantu	https://en.wikipedia.org/wiki/Nyoro_people
AfPO:0000395	Sudanese Arab	Semitic Eastern	28 millions	https://en.wikipedia.org/wiki/Sudanese_Arabs
AfPO:0000239	Mang'anja	Chewa	2.486 millions	https://en.wikipedia.org/wiki/Mang%27anja
AfPO:0000022	Burundi	Eastern Africa	11.46 millions	
AfPO:0000499	Elmolo@en	Cushitic Eastern	1104	https://en.wikipedia.org/wiki/El_Molo_people
AfPO:0000344	Tonga	Bantu Southern	2 millions	https://en.wikipedia.org/wiki/Tonga_people_(Malawi)
AfPO:0000344	Tonga	Bantu Eastern	2 millions	https://en.wikipedia.org/wiki/Tonga_people_(Malawi)
AfPO:0000516	Aushi@en	Bemba	433000	
AfPO:0000525	Bamum@en	Western African	659000	https://en.wikipedia.org/wiki/Bamum_people
AfPO:0000417	Edo	Western African	1.6 millions	https://en.wikipedia.org/wiki/Edo_people
AfPO:0000113	Oromo	Cushitic Eastern	Afro-Asiatic|Cushitic|East|Oromo	https://en.wikipedia.org/wiki/Oromo_people
AfPO:0000113	Oromo	Cushitic Eastern	40 millions	https://en.wikipedia.org/wiki/Oromo_people
AfPO:0000075	Sebei	Kalenjin	Nilo-Saharan|Satellite-Core|Core|Eastern|Sudanic\tSouthern|Nilotic|Southern	https://en.wikipedia.org/wiki/Sebei_people
AfPO:0000075	Sebei	Kalenjin	0.3 million	https://en.wikipedia.org/wiki/Sebei_people
AfPO:0000255	Vezo	Malagasy	0.0012 million	https://en.wikipedia.org/wiki/Vezo_people
AfPO:0000554	Loko@en	Mande Western	165692	
AfPO:0000300	Ovimbundu	Bantu Central	4.6 milions	https://en.wikipedia.org/wiki/Ovimbundu
AfPO:0000024	Mozambique	Eastern Africa	26.5 millions	
AfPO:0000426	Mole-Dagbani	Gurma	8.6 millions	https://en.wikipedia.org/wiki/Dagomba_people
AfPO:0000426	Mole-Dagbani	Gurma	0.5 million	https://en.wikipedia.org/wiki/Dagomba_people
AfPO:0000508	Tanala@en	Malagasy	400000	https://en.wikipedia.org/wiki/Tanala
AfPO:0000103	Tsonga	Bantu Southern	6 millions	https://en.wikipedia.org/wiki/Tsonga_people
AfPO:0000103	Tsonga	Bantu Southern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S	https://en.wikipedia.org/wiki/Tsonga_people
AfPO:0000021	Mauritius	Eastern Africa	1.35 million	
AfPO:0000238	Yao	Bantu Eastern	> 2 millions	https://en.wikipedia.org/wiki/Yao_people_(East_Africa)
AfPO:0000493	Nyamwezi@en	Bantu Eastern	4 Millions	https://en.wikipedia.org/wiki/Nyamwezi_people
AfPO:0000493	Nyamwezi@en	Eastern African	4 Millions	https://en.wikipedia.org/wiki/Nyamwezi_people
AfPO:0000471	Punu@en	Bantu Central	317000	https://en.wikipedia.org/wiki/Punu_people
AfPO:0000498	Aweer@en	Cushitic Eastern	20103	https://en.wikipedia.org/wiki/Aweer_people
AfPO:0000387	Saho	Cushitic Eastern	Afro-Asiatic|Cushitic|East|Saho-Afar	https://en.wikipedia.org/wiki/Saho_people
AfPO:0000387	Saho	Cushitic Eastern	0.2 million	https://en.wikipedia.org/wiki/Saho_people
AfPO:0000098	Nandi	Kalenjin	937,884	https://en.wikipedia.org/wiki/Nandi_people
AfPO:0000524	Baule@en	Akan	5 millions	https://en.wikipedia.org/wiki/Baoulé_people
AfPO:0000370	Malagasy	Eastern African	25 millions	https://en.wikipedia.org/wiki/Malagasy_people
AfPO:0000298	Ngamambo	Bantu Central	0.08 million	
AfPO:0000478	Mbum@en	Central African	165000	
AfPO:0000220	Sahrawi	Berber Northern	0.57 million	https://en.wikipedia.org/wiki/Sahrawi_people
AfPO:0000220	Sahrawi	Berber Northern	Afro-Asiatic|Semitic|Central|South|Arabic|Mandaic|Northwestern|West	https://en.wikipedia.org/wiki/Sahrawi_people
AfPO:0000247	Tsimihety	Malagasy	1.2 millions	https://en.wikipedia.org/wiki/Tsimihety_people
AfPO:0000553	Kuranko@en	Mande Western	> 2 millions	https://en.wikipedia.org/wiki/Kuranko_people
AfPO:0000136	Ga-Adangbe	Western African	2 millions	https://en.wikipedia.org/wiki/Ga-Adangbe_people
AfPO:0000290	Beti-Pahuin	Bantu Western	3.3 millions	https://en.wikipedia.org/wiki/Beti-Pahuin_peoples
AfPO:0000290	Beti-Pahuin	Bantu Central	3.3 millions	https://en.wikipedia.org/wiki/Beti-Pahuin_peoples
AfPO:0000153	Dagaaba	Western African	1 million	https://en.wikipedia.org/wiki/Dagaaba_people
AfPO:0000153	Dagaaba	Western African	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Western|Northwest|Dagaari-Birifor|Dagaari	https://en.wikipedia.org/wiki/Dagaaba_people
AfPO:0000533	Gola@en	Western African	304000	https://en.wikipedia.org/wiki/Gola_people
AfPO:0000505	Bezanozano@en	Malagasy	100000	https://en.wikipedia.org/wiki/Bezanozano
AfPO:0000425	Mande Western	Western African	>30 millions	https://en.wikipedia.org/wiki/Mand%C3%A9_peoples
AfPO:0000425	Mande Western	Western African	>30 millions	https://en.wikipedia.org/wiki/List_of_Mand%C3%A9_peoples_of_Africa
AfPO:0000314	Ghana	Western Africa	27.49 millions	
AfPO:0000434	Zarma	Songhai	>5 millions	https://en.wikipedia.org/wiki/Zarma_people
AfPO:0000434	Zarma	Songhai	Nilo-Saharan|Songhai|Southern|Maban|Surbakhal|Kresh|Sinyar|Sara|Vale|Sara Kaba|Luo|Lango-Acholi	https://en.wikipedia.org/wiki/Zarma_people
AfPO:0000203	Akan	Western African	20 millions	https://en.wikipedia.org/wiki/Akan_people
AfPO:0000064	Susu	Mande Western	2.2 millions	https://en.wikipedia.org/wiki/Susu_people
AfPO:0000543	Dan@en	Mande Western	700000	https://en.wikipedia.org/wiki/Dan_people
AfPO:0000463	Hema@en	Bantu Central	215000	https://en.wikipedia.org/wiki/Hema_people
AfPO:0000352	North Ndebele	Ndebele	1.5 million	https://en.wikipedia.org/wiki/Northern_Ndebele_people
AfPO:0000379	Shilluk	Luo	1.5 million	https://en.wikipedia.org/wiki/Shilluk_people
AfPO:0000013	Réunion	Eastern Africa	0.86 million	
AfPO:0000044	Sudan	Eastern Africa	37.3 millions	
AfPO:0000306	Sara	Western African	3.5 millions	https://en.wikipedia.org/wiki/Sara_people
AfPO:0000306	Sara	Nilotic Central	3.5 millions	https://en.wikipedia.org/wiki/Sara_people
AfPO:0000135	Rendille	Cushitic Eastern	Afro-Asiatic|Cushitic|Lowland East|Rendille–Boni|Rendille	https://en.wikipedia.org/wiki/Rendille_people
AfPO:0000335	Banareng	Bantu Southern	Niger–Congo, Bantu	https://en.wikipedia.org/wiki/List_of_Sotho-Tswana_clans
AfPO:0000576	Maore	Swahili	217,400	
AfPO:0000251	Betsileo	Malagasy	4.359 millions	https://en.wikipedia.org/wiki/Betsileo_people
AfPO:0000287	Twa	Pygmy Eastern	0.04 million	https://en.wikipedia.org/wiki/Great_Lakes_Twa
AfPO:0000287	Twa	Pygmy Eastern	0.04 million	https://en.wikipedia.org/wiki/Twa
AfPO:0000287	Twa	Pygmy Southern	0.04 million	https://en.wikipedia.org/wiki/Great_Lakes_Twa
AfPO:0000287	Twa	Pygmy Southern	0.04 million	https://en.wikipedia.org/wiki/Twa
AfPO:0000287	Twa	Banyarwanda	0.04 million	https://en.wikipedia.org/wiki/Great_Lakes_Twa
AfPO:0000287	Twa	Banyarwanda	0.04 million	https://en.wikipedia.org/wiki/Twa
AfPO:0000287	Twa	Pygmy Central	0.04 million	https://en.wikipedia.org/wiki/Great_Lakes_Twa
AfPO:0000287	Twa	Pygmy Central	0.04 million	https://en.wikipedia.org/wiki/Twa
AfPO:0000145	Tuareg	Berber Northern	2.5 millions	https://en.wikipedia.org/wiki/Tuareg_people
AfPO:0000145	Tuareg	Berber Western	2.5 millions	https://en.wikipedia.org/wiki/Tuareg_people
AfPO:0000236	Ngoni	Bantu Eastern	0.758 million	https://en.wikipedia.org/wiki/Ngoni_people
AfPO:0000236	Ngoni	Bantu Southern	0.758 million	https://en.wikipedia.org/wiki/Ngoni_people
AfPO:0000542	Bandial@en	Jola	10125	https://fr.wikipedia.org/wiki/Bandials
AfPO:0000125	Hausa	Western African	90 millions	https://en.wikipedia.org/wiki/Hausa_people
AfPO:0000125	Hausa	Eastern African	90 millions	https://en.wikipedia.org/wiki/Hausa_people
AfPO:0000351	Swazi	Nguni	2.3 millions	https://en.wikipedia.org/wiki/Swazi_people
AfPO:0000351	Swazi	Nguni	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S	https://en.wikipedia.org/wiki/Swazi_people
AfPO:0000043	Egypt	Northern Africa	97 millions	
AfPO:0000522	Fante@en	Akan	2 millions	https://en.wikipedia.org/wiki/Fante_people
AfPO:0000414	Bubi	Western African	0.1 million	https://en.wikipedia.org/wiki/Bubi_people
AfPO:0000414	Bubi	Western African	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A	https://en.wikipedia.org/wiki/Bubi_people
AfPO:0000414	Bubi	Western African	Niger–Congo	https://en.wikipedia.org/wiki/Bubi_people
AfPO:0000303	Ngbandi	Ubangi Central	0.122 million	https://en.wikipedia.org/wiki/Ngbandi_people
AfPO:0000383	Afar	Cushitic Eastern	6.3 million	https://en.wikipedia.org/wiki/Afar_people
AfPO:0000580	<http://purl.obolibrary.org/obo/afpo.owl#Karonica>	Jola	117000	https://en.wikipedia.org/wiki/Karoninka_people
AfPO:0000404	Kisii	Bantu Eastern	2.2 millions	https://en.wikipedia.org/wiki/Kisii_people
AfPO:0000392	Gurage	Semitic Eastern	Afro-Asiatic|Semitic|South|Ethiopian|South|Outer|tt-Group|West	https://en.wikipedia.org/wiki/Gurage_people
AfPO:0000392	Gurage	Semitic Eastern	1.9 millions	https://en.wikipedia.org/wiki/Gurage_people
AfPO:0000289	Kanembu	Kanuri	0.655 millions	https://en.wikipedia.org/wiki/Kanembu_people
AfPO:0000551	Kono@en	Mande Western	363000	https://en.wikipedia.org/wiki/Kono_people
AfPO:0000332	San	Southern African	0.1 million	https://en.wikipedia.org/wiki/San_people
AfPO:0000161	Dyula	Mande Western	6.8 millions	https://en.wikipedia.org/wiki/Dyula_people
AfPO:0000341	Ovambo	Bantu Southern	1.6 million	https://en.wikipedia.org/wiki/Ovambo_people
AfPO:0000368	Moor	Semite Northern	2 millions	https://en.wikipedia.org/wiki/Moors
AfPO:0000368	Moor	Semite Northern	2 millions	https://en.wikipedia.org/wiki/Azawagh_Arabs
AfPO:0000368	Moor	Semitic Eastern	2 millions	https://en.wikipedia.org/wiki/Moors
AfPO:0000368	Moor	Semitic Eastern	2 millions	https://en.wikipedia.org/wiki/Azawagh_Arabs
AfPO:0000019	Zambia	Central Africa	15.9 millions	
AfPO:0000279	Kotoko	Central African	< 1 million	https://en.wikipedia.org/wiki/Kotoko_people
